codigo_ipress,anio,mes,_archivo,_registro,variable,anterior,actual,diferencia
00007138,2026,6,data\raw\Capacidad\ConsultaA_2026_v13.csv,20204,CA_CAMAS,0.0,10.0,10.0
00007138,2026,7,data\raw\Capacidad\ConsultaA_2026_v13.csv,7030,CA_CAMAS,10.0,0.0,-10.0
00007152,2025,2,data\raw\Capacidad\ConsultaA_2025_v22.csv,20501,CA_CAMAS,12.0,24.0,12.0
00007294,2024,4,data\raw\Capacidad\ConsultaA_2024_v22.csv,32370,CA_CAMAS,10.0,0.0,-10.0
00007314,2023,9,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,26311,CA_CAMAS,10.0,21.0,11.0
00007636,2019,8,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,19221,CA_CAMAS,21.0,49.0,28.0
00007636,2022,8,data\raw\Capacidad\ConsultaA_Recursos_Salud_2022_v24.csv,22764,CA_CAMAS,83.0,0.0,-83.0
00007636,2023,2,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,8429,CA_CAMAS,0.0,50.0,50.0
00007638,2021,10,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,26903,CA_CAMAS,65.0,0.0,-65.0
00007638,2021,12,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,36252,CA_CAMAS,0.0,65.0,65.0
00007639,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,4346,CA_CAMAS,169.0,672.0,503.0
00007734,2020,8,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,40830,CA_CAMAS,9.0,48.0,39.0
00007734,2022,5,data\raw\Capacidad\ConsultaA_Recursos_Salud_2022_v24.csv,23017,CA_CAMAS,28.0,0.0,-28.0
00007734,2022,6,data\raw\Capacidad\ConsultaA_Recursos_Salud_2022_v24.csv,15713,CA_CAMAS,0.0,27.0,27.0
00007734,2023,10,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,34643,CA_CAMAS,30.0,0.0,-30.0
00007734,2023,11,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,24192,CA_CAMAS,0.0,37.0,37.0
00007734,2023,12,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,40769,CA_CAMAS,37.0,0.0,-37.0
00007734,2024,1,data\raw\Capacidad\ConsultaA_2024_v22.csv,5467,CA_CAMAS,0.0,46.0,46.0
00007734,2024,12,data\raw\Capacidad\ConsultaA_2024_v22.csv,104,CA_CAMAS,39.0,0.0,-39.0
00008281,2021,1,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,5792,CA_CAMAS,56.0,154.0,98.0
00008281,2021,2,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,5297,CA_CAMAS,154.0,0.0,-154.0
00008281,2021,3,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,7692,CA_CAMAS,0.0,145.0,145.0
